PERMNO,DATE,RET,YEAR
11185,09/27/1999,0.047619,1999
11185,09/28/1999,-0.022727,1999
11185,09/29/1999,-0.023256,1999
11185,09/30/1999,-0.023810,1999
11185,10/01/1999,0.024390,1999
11185,10/04/1999,-0.023810,1999
11185,10/05/1999,-0.024390,1999
11185,10/06/1999,-0.050000,1999
11185,10/07/1999,0.052632,1999
11185,10/08/1999,0.000000,1999
11185,10/11/1999,0.000000,1999
11185,10/12/1999,0.025000,1999
11185,10/13/1999,-0.048780,1999
11185,10/14/1999,0.025641,1999
11185,10/15/1999,0.000000,1999
11185,10/18/1999,-0.050000,1999
11185,10/19/1999,0.105263,1999
11185,10/20/1999,0.000000,1999
11185,10/21/1999,0.047619,1999
11185,10/22/1999,-0.090909,1999
11185,10/25/1999,-0.050000,1999
11185,10/26/1999,0.105263,1999
11185,10/27/1999,0.047619,1999
11185,10/28/1999,0.000000,1999
11185,10/29/1999,0.000000,1999
11185,11/01/1999,-0.090909,1999
11185,11/02/1999,0.100000,1999
11185,11/03/1999,-0.090909,1999
11185,11/04/1999,0.000000,1999
11185,11/05/1999,0.000000,1999
11185,11/08/1999,0.000000,1999
11185,11/09/1999,0.000000,1999
11185,11/10/1999,-0.050000,1999
11185,11/11/1999,0.000000,1999
11185,11/12/1999,0.000000,1999
11185,11/15/1999,0.000000,1999
11185,11/16/1999,0.000000,1999
11185,11/17/1999,0.026316,1999
11185,11/18/1999,0.000000,1999
11185,11/19/1999,-0.025641,1999
11185,11/22/1999,0.078947,1999
11185,11/23/1999,0.000000,1999
11185,11/24/1999,-0.024390,1999
11185,11/26/1999,-0.025000,1999
11185,11/29/1999,0.000000,1999
11185,11/30/1999,-0.025641,1999
11185,12/01/1999,0.000000,1999
11185,12/02/1999,0.000000,1999
11185,12/03/1999,-0.026316,1999
11185,12/06/1999,-0.027027,1999
11185,12/07/1999,-0.055556,1999
11185,12/08/1999,0.000000,1999
11185,12/09/1999,-0.058824,1999
11185,12/10/1999,0.000000,1999
11185,12/13/1999,0.062500,1999
11185,12/14/1999,0.000000,1999
11185,12/15/1999,-0.058824,1999
11185,12/16/1999,0.031250,1999
11185,12/17/1999,0.000000,1999
11185,12/20/1999,0.000000,1999
11185,12/21/1999,0.030303,1999
11185,12/22/1999,0.088235,1999
11185,12/23/1999,-0.027027,1999
11185,12/27/1999,0.055556,1999
11185,12/28/1999,0.105263,1999
11185,12/29/1999,0.000000,1999
11185,12/30/1999,0.071429,1999
11185,12/31/1999,0.022222,1999
12073,01/04/1999,-0.009050,1999
12073,01/05/1999,0.020548,1999
12073,01/06/1999,0.011186,1999
12073,01/07/1999,0.000000,1999
12073,01/08/1999,0.004425,1999
12073,01/11/1999,0.000000,1999
12073,01/12/1999,0.000000,1999
12073,01/13/1999,-0.013216,1999
12073,01/14/1999,-0.008929,1999
12073,01/15/1999,-0.004505,1999
12073,01/19/1999,0.018100,1999
12073,01/20/1999,-0.031111,1999
12073,01/21/1999,-0.018349,1999
12073,01/22/1999,0.009346,1999
12073,01/25/1999,0.018519,1999
12073,01/26/1999,0.009091,1999
12073,01/27/1999,-0.006757,1999
12073,01/28/1999,-0.023401,1999
12073,01/29/1999,0.018735,1999
12073,02/01/1999,-0.006897,1999
12073,02/02/1999,0.000000,1999
12073,02/03/1999,0.009259,1999
12073,02/04/1999,0.013761,1999
12073,02/05/1999,-0.006787,1999
12073,02/08/1999,0.002278,1999
12073,02/09/1999,0.009091,1999
12073,02/10/1999,-0.001126,1999
12073,02/11/1999,0.012401,1999
12073,02/12/1999,0.006682,1999
12073,02/16/1999,-0.004425,1999
12073,02/17/1999,-0.015556,1999
12073,02/18/1999,0.009029,1999
12073,02/19/1999,0.000000,1999
12073,02/22/1999,0.002237,1999
12073,02/23/1999,-0.002232,1999
12073,02/24/1999,0.000000,1999
12073,02/25/1999,0.002237,1999
