PERMNO,DATE,RET,YEAR
10177,11/26/1986,0.000000,1986
10177,11/28/1986,0.000000,1986
10177,12/01/1986,0.010870,1986
10177,12/02/1986,-0.032258,1986
10177,12/03/1986,-0.022222,1986
10177,12/04/1986,0.000000,1986
10177,12/05/1986,0.000000,1986
10177,12/08/1986,0.000000,1986
10177,12/09/1986,-0.045455,1986
10177,12/10/1986,0.000000,1986
10177,12/11/1986,0.000000,1986
10177,12/12/1986,0.000000,1986
10177,12/15/1986,0.000000,1986
10177,12/16/1986,0.000000,1986
10177,12/17/1986,0.000000,1986
10177,12/18/1986,-0.023810,1986
10177,12/19/1986,0.000000,1986
10177,12/22/1986,0.000000,1986
10177,12/23/1986,-0.024390,1986
10177,12/24/1986,0.000000,1986
10177,12/26/1986,0.000000,1986
10177,12/29/1986,0.000000,1986
10177,12/30/1986,0.000000,1986
10177,12/31/1986,0.000000,1986
10177,01/02/1987,0.000000,1987
10177,01/05/1987,0.000000,1987
10177,01/06/1987,0.025000,1987
10177,01/07/1987,0.024390,1987
10177,01/08/1987,-0.023810,1987
10177,01/09/1987,0.000000,1987
10177,01/12/1987,-0.024390,1987
10177,01/13/1987,0.000000,1987
10177,01/14/1987,0.000000,1987
10177,01/15/1987,0.000000,1987
10177,01/16/1987,0.000000,1987
10177,01/19/1987,0.000000,1987
10177,01/20/1987,0.000000,1987
10177,01/21/1987,0.012500,1987
10177,01/22/1987,0.012346,1987
10177,01/23/1987,0.000000,1987
10177,01/26/1987,0.000000,1987
10177,01/27/1987,0.073171,1987
10177,01/28/1987,0.045455,1987
10177,01/29/1987,0.043478,1987
10177,01/30/1987,-0.041667,1987
10177,02/02/1987,0.000000,1987
10177,02/03/1987,0.000000,1987
10177,02/04/1987,0.000000,1987
10177,02/05/1987,0.000000,1987
10177,02/06/1987,0.086957,1987
10177,02/09/1987,-0.020000,1987
10177,02/10/1987,-0.020408,1987
10177,02/11/1987,0.041667,1987
10177,02/12/1987,0.000000,1987
10177,02/13/1987,0.000000,1987
10177,02/17/1987,0.000000,1987
10177,02/18/1987,0.000000,1987
10177,02/19/1987,0.000000,1987
10177,02/20/1987,0.000000,1987
10177,02/23/1987,0.000000,1987
10177,02/24/1987,-0.040000,1987
10177,02/25/1987,-0.041667,1987
10177,02/26/1987,0.000000,1987
10177,02/27/1987,0.000000,1987
10177,03/02/1987,0.000000,1987
10177,03/03/1987,0.043478,1987
10177,03/04/1987,0.000000,1987
10177,03/05/1987,-0.041667,1987
10177,03/06/1987,0.043478,1987
10177,03/09/1987,0.041667,1987
10177,03/10/1987,0.000000,1987
10177,03/11/1987,0.000000,1987
10177,03/12/1987,-0.080000,1987
10177,03/13/1987,0.043478,1987
10177,03/16/1987,0.000000,1987
10177,03/17/1987,0.000000,1987
10177,03/18/1987,0.041667,1987
10177,03/19/1987,0.000000,1987
10177,03/20/1987,0.000000,1987
10177,03/23/1987,0.080000,1987
10177,03/24/1987,-0.037037,1987
10177,03/25/1987,0.038462,1987
10177,03/26/1987,0.000000,1987
10177,03/27/1987,0.037037,1987
10177,03/30/1987,-0.035714,1987
10177,03/31/1987,0.000000,1987
10177,04/01/1987,-0.018519,1987
10177,04/02/1987,0.056604,1987
10177,04/03/1987,0.000000,1987
10177,04/06/1987,0.000000,1987
10177,04/07/1987,0.071429,1987
10177,04/08/1987,-0.100000,1987
10177,04/09/1987,0.000000,1987
10177,04/10/1987,-0.074074,1987
10177,04/13/1987,0.040000,1987
10177,04/14/1987,-0.038462,1987
10177,04/15/1987,0.040000,1987
10177,04/16/1987,0.000000,1987
10177,04/20/1987,0.000000,1987
10177,04/21/1987,-0.057692,1987
10177,04/22/1987,0.061224,1987
10177,04/23/1987,-0.076923,1987
10177,04/24/1987,0.000000,1987
10177,04/27/1987,-0.020833,1987
10177,04/28/1987,0.000000,1987
10177,04/29/1987,0.021277,1987
10177,04/30/1987,-0.083333,1987
10177,05/01/1987,0.068182,1987
10177,05/04/1987,-0.021277,1987
10177,05/05/1987,0.000000,1987
10177,05/06/1987,-0.043478,1987
10177,05/07/1987,0.090909,1987
10177,05/08/1987,-0.083333,1987
