PERMNO,DATE,RET,YEAR
26112,08/06/1979,0.005988,1979
26112,08/07/1979,0.050595,1979
26112,08/08/1979,0.019830,1979
26112,08/09/1979,0.019444,1979
26112,08/10/1979,0.005450,1979
26112,08/13/1979,0.021680,1979
26112,08/14/1979,-0.002653,1979
26112,08/15/1979,0.002660,1979
26112,08/16/1979,-0.007958,1979
26112,08/17/1979,0.000000,1979
26112,08/20/1979,-0.005348,1979
26112,08/21/1979,0.002688,1979
26112,08/22/1979,0.002681,1979
26112,08/23/1979,-0.005348,1979
26112,08/24/1979,-0.026882,1979
26112,08/27/1979,0.002762,1979
26112,08/28/1979,-0.013774,1979
26112,08/29/1979,-0.005587,1979
26112,08/30/1979,-0.008427,1979
26112,08/31/1979,-0.008499,1979
26112,09/04/1979,0.005714,1979
26112,09/05/1979,-0.008523,1979
26112,09/06/1979,-0.020057,1979
26112,09/07/1979,0.011696,1979
26112,09/10/1979,-0.005780,1979
26112,09/11/1979,-0.008721,1979
26112,09/12/1979,-0.005865,1979
26112,09/13/1979,0.023599,1979
26112,09/14/1979,0.014409,1979
26112,09/17/1979,0.000000,1979
26112,09/18/1979,-0.005682,1979
26112,09/19/1979,-0.005714,1979
26112,09/20/1979,0.000000,1979
26112,09/21/1979,-0.005747,1979
26112,09/24/1979,-0.005780,1979
26112,09/25/1979,-0.005814,1979
26112,09/26/1979,0.005848,1979
26112,09/27/1979,-0.008721,1979
26112,09/28/1979,0.000000,1979
26112,10/01/1979,-0.005865,1979
26112,10/02/1979,0.005900,1979
26112,10/03/1979,-0.002933,1979
26112,10/04/1979,-0.023529,1979
26112,10/05/1979,-0.018072,1979
26112,10/08/1979,-0.018405,1979
26112,10/09/1979,-0.015625,1979
26112,10/10/1979,0.015873,1979
26112,10/11/1979,-0.006250,1979
26112,10/12/1979,-0.031447,1979
26112,10/15/1979,-0.012987,1979
26112,10/16/1979,-0.003289,1979
26112,10/17/1979,0.000000,1979
26112,10/18/1979,-0.009901,1979
26112,10/19/1979,-0.010000,1979
26112,10/22/1979,0.003367,1979
26112,10/23/1979,0.000000,1979
26112,10/24/1979,0.006711,1979
26112,10/25/1979,0.003333,1979
26112,10/26/1979,-0.009967,1979
26112,10/29/1979,-0.023490,1979
26112,10/30/1979,0.010309,1979
26112,10/31/1979,-0.010204,1979
26112,11/01/1979,0.008247,1979
26112,11/02/1979,-0.003436,1979
26112,11/05/1979,-0.003448,1979
26112,11/06/1979,0.000000,1979
26112,11/07/1979,0.010381,1979
26112,11/08/1979,0.003425,1979
